name,address,district,website,detected,server_header,x_powered_by,status_code,error
Samsun Dental Klinik Ağız Ve Diş Sağlığı Polikliniği,"Bahçelievler, Lise Cd. No:43/9, 55070 İlkadım/Samsun, Türkiye",İlkadım,http://www.samsundentalklinik.com/,Bilinmiyor / özel kod,nginx,,200,
DENTALPARK AĞIZ VE DİŞ SAĞLIĞI POLİKLİNİĞİ | Dişçi | implant | Diş Çekimi | Gülüş Tasarımı | Zirkonyum Kaplama | Emax kaplama,"Ömürevleri, İsmet İnönü Blv. no:289, 55200 Atakum/Samsun, Türkiye",Atakum,https://dentalparksamsun.com/,WordPress,nginx,,200,
Bilim Diş Kliniği Atakum Ağız ve Diş Sağlığı Polikliniği ( Diş Hekimi Hüseyin KAYA - Diş Hekimi Resul Yüksek ),"Cumhuriyet, Alparslan Blv. No:18, 55200 Atakum/Samsun, Türkiye",Atakum,http://bilimdisklinigi.com/,WordPress,LiteSpeed,,200,
Denta Samsun Ağız ve Diş Sağlığı Polikliniği,"Kale, İstiklal Cd. No:35 D:1, 55030 İlkadım/Samsun, Türkiye",İlkadım,https://www.dentaclinics.com/tr/,,,,,"HTTPSConnectionPool(host='www.dentaclinics.com', port=443): Max retries exceeded with url: /tr/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)')))"
Dent Samsun | Samsun Ağız ve Diş Sağlığı Polikliniği,"Saitbey, 100. Yıl Blv. Çiçek apt No:91/3, 55030 İlkadım/Samsun, Türkiye",İlkadım,http://www.dentsamsun.com/,Bilinmiyor / özel kod,LiteSpeed,,200,
Berlin Dental Klinik Ağız ve Diş Sağlığı Polikliniği,"Cumhuriyet, Bariş Caddesi No:8A, 55200 Atakum/Samsun, Türkiye",Atakum,http://dentaberlin.com/,WordPress,LiteSpeed,PHP/8.2.31,200,
Atakum Diş Hekimi Hüseyin KAYA,"Cumhuriyet, Alparslan Blv. No:18, 55200 Atakum/Samsun, Türkiye",Atakum,https://dthuseyinkaya.com/,WordPress,,,200,
Samsun Dental Prime | Atakum Diş Kliniği | Samsun Diş Kliniği | Samsun Çocuk Diş Doktoru,"Lotus Evleri, Mimarsinan, Atatürk Bl. No:257/A Zemin Kat, 55200 Atakum/Samsun, Türkiye",Atakum,http://www.samsundentalprime.com.tr/,Bilinmiyor / özel kod,cloudflare,,200,
RivaDent İlkadım Ağız ve Diş Sağlığı Polikliniği,"Faktör Ofis, Hançerli, 608. Sok No. 5/9, 55070 İlkadım/Samsun, Türkiye",İlkadım,https://rivadent.com.tr/poliklinikler/rivadent-ilkadim,Bilinmiyor / özel kod,LiteSpeed,PHP/7.4.33,200,
Dentalpark Ağız ve Diş Sağlığı Kliniği Mevlana Şubesi,"Mevlana, 776.Sokak NO: 9/A, 55200 Atakum/Samsun, Türkiye",Atakum,http://dentalparksamsun.com/,WordPress,nginx,,200,
